id,title,description,availability,condition,price,link,image_link,brand,product_type
68dd5154fd9b180004dbb44d,Ventilador Star Trak 3 en 1. 18” Aspas Plasticas,"🌀 Ventilador Star Trak 3 en 1 – 18"" El aliado para el verano: se usa de pie, de mesa o colgado, vos elegís. ✅ Motor 100% de cobre, 90W de potencia real 🍃 5 aspas plásticas, función oscilante para refrescar todo el ambiente ⚙️ 3 velocidades y base con ruedas (volante) para moverlo fácil 🔧 Altura ajustable, ideal para pieza, living o negocio 🇦🇷 Fabricado en Argentina",in stock,new,35800 ARS,https://primeramano.github.io/?p=68dd5154fd9b180004dbb44d,https://images.fravega.com/f1000/cb82514a861a1d2732fc55338cb9a9a4.jpg,Primera Mano,Electrodomésticos
6953e8c3dc6d370004989ab7,Secaplatos 2 Niveles Cromado,"Secaplatos 2 niveles cromado 🍽️ • 🗂️ 2 niveles para platos, vasos y utensilios • ✨ Acabado cromado resistente y moderno. Acero inoxidable • 💧 Permite un secado rápido y eficiente • 📦 Optimiza el espacio en la cocina. Medidas: 36*11*25cm  • 🧼 Fácil de limpiar y mantener",in stock,new,20400 ARS,https://primeramano.github.io/?p=6953e8c3dc6d370004989ab7,https://pency-images.nyc3.digitaloceanspaces.com/revoleoficial/1769114585370.jpg,Primera Mano,Cocina y Bazar
6953fbcd75004200045a8aba,Trípode con Aro de Luz 26CM,"📸 Trípode con aro de luz   💡 Iluminación ajustable para fotos y videos  🔄 Altura regulable y estable. Tamaño del aro 26cm   ✨ Ideal para streaming, TikTok y YouTube  💪 Resistente y fácil de usar  🎥 Perfecto para contenido profesional y creativo",in stock,new,16900 ARS,https://primeramano.github.io/?p=6953fbcd75004200045a8aba,https://pency-images.nyc3.digitaloceanspaces.com/revoleoficial/1769449950344.jpg,Primera Mano,Tecnología y Audio
6955184114a2850004a2b2ee,"Ventilador Aprilla 18"" 3 en 1","🌬️ Ventilador 3 en 1 – 18"" Versátil y potente, se adapta a pie, mesa o colgado según lo necesites. ✅ 90W de potencia, aspas metálicas resistentes 🔄 3 velocidades para regular el aire a gusto 📏 Altura máxima de 1,70m, perfecto para cualquier ambiente 🏠 Ideal para casa, local u oficina",in stock,new,38600 ARS,https://primeramano.github.io/?p=6955184114a2850004a2b2ee,https://gasloni.com.ar/wp-content/uploads/sites/32/2020/12/image-70.jpg,Primera Mano,Electrodomésticos
695519de8dd8da0004eb4e6c,"Ventilador Industrial 26"" 2 en 1","💨 Ventilador Industrial 26"" 2 en 1 Potencia industrial para espacios grandes: local, taller, quincho o galpón. ✅ 220W con motor de cobre reforzado 🌀 Aspas de aluminio estampado tipo aeronáutico, cabezal oscilante 🔧 2 en 1: se usa de pie o se cuelga en la pared (soporte incluido) 📏 Altura regulable hasta 1,70m 🔥 Fusible térmico de seguridad autorreseteable",in stock,new,125400 ARS,https://primeramano.github.io/?p=695519de8dd8da0004eb4e6c,https://images.fravega.com/f1000/f6a9fa9e53e90b5f12add50bcd111286.jpg,Primera Mano,Electrodomésticos
69551a158dd8da0004eb4e6f,"Ventilador Industrial 30"" 2 en 1","🌪️ Ventilador Industrial 30"" 2 en 1 El más grande de la línea: máximo caudal de aire para espacios amplios. ✅ 200W de potencia, motor robusto 🌀 3 aspas plásticas reforzadas, 3 velocidades 🔧 2 en 1: pie o pared, según lo necesites 📏 Altura ajustable hasta 1,40m 🏭 Ideal para comercios, talleres y galpones",in stock,new,157200 ARS,https://primeramano.github.io/?p=69551a158dd8da0004eb4e6f,https://images.fravega.com/f1000/86d175b4ec5155d0f43dac4db1ab18cd.jpg,Primera Mano,Electrodomésticos
69595613b9a3cb0004c25ab5,Mesa Plegable Blanca,"1.80 largo * 70 alto * 74 ancho  🔄 Plegable y práctica: fácil de guardar y transportar.  ⚪ Color blanco elegante: combina con cualquier espacio.  🪵 Estructura resistente: estable y duradera.  🏠 Versátil: ideal para hogar, jardín o eventos.  ✨ Montaje rápido: lista para usar en segundos.  👜 Ligera y portátil: perfecta para llevar a cualquier lugar.",in stock,new,75200 ARS,https://primeramano.github.io/?p=69595613b9a3cb0004c25ab5,assets/products/69595613b9a3cb0004c25ab5-0.jpg?v=1788735813249,Primera Mano,Aire Libre y Jardín
6959563205fbf9000405365e,Mesa Plegable Negra,"1.80 largo * 70 alto * 74 ancho  🔄 Plegable y práctica: fácil de guardar y transportar.  ⚪ Color blanco elegante: combina con cualquier espacio.  🪵 Estructura resistente: estable y duradera.  🏠 Versátil: ideal para hogar, jardín o eventos.  ✨ Montaje rápido: lista para usar en segundos.  👜 Ligera y portátil: perfecta para llevar a cualquier lugar.",in stock,new,81800 ARS,https://primeramano.github.io/?p=6959563205fbf9000405365e,https://pency-images.nyc3.digitaloceanspaces.com/revoleoficial/1769129581705.jpg,Primera Mano,Aire Libre y Jardín
695956e5e5a31200048baded,Reposera 8 Posiciones,Características:  - 8 posiciones para brindar comodidad y soporte en diferentes posiciones 😌 - Material de aluminio reforzado para durabilidad y resistencia 💪 - Variedad de colores 🔥,in stock,new,31900 ARS,https://primeramano.github.io/?p=695956e5e5a31200048baded,https://pency-images.nyc3.digitaloceanspaces.com/revoleoficial/1769195611487.jpg,Primera Mano,Aire Libre y Jardín
695c54eb0ba0e300040b9b92,Especiero Giratorio 12 Frascos,"Incluye 12 frascos de vidrio, ideales para conservar especias frescas y organizadas. Su diseño giratorio facilita el acceso rápido, ahorra espacio y aporta un toque moderno a la cocina. Práctico, funcional y elegante.",in stock,new,35400 ARS,https://primeramano.github.io/?p=695c54eb0ba0e300040b9b92,https://pency-images.nyc3.digitaloceanspaces.com/revoleoficial/1772543912098.jpg,Primera Mano,Cocina y Bazar
